aX,aY,aZ,gX,gY,gZ
-0.179,0.331,2.642,55.481,1.648,-8.850
-0.199,0.299,2.853,35.278,30.212,-8.179
-0.174,0.259,2.811,14.832,55.725,-2.136
-0.099,0.294,2.506,-3.845,65.735,8.240
0.011,0.308,2.074,-6.836,57.983,18.616
0.132,0.351,1.787,7.141,30.029,25.635
0.248,0.389,1.704,24.170,-11.230,25.452
0.357,0.357,1.794,31.738,-51.392,15.808
0.436,0.187,1.898,31.372,-73.914,3.784
0.467,-0.080,1.830,27.527,-69.885,1.770
0.462,-0.173,1.605,18.555,-45.715,18.311
0.473,-0.132,1.283,23.010,-18.005,47.058
0.361,-0.153,0.903,34.119,3.296,66.711
0.150,-0.061,0.519,37.903,15.503,84.167
-0.070,0.041,0.205,54.016,15.137,99.976
-0.301,0.085,-0.003,45.166,2.136,103.088
-0.273,0.301,0.133,-20.569,-16.602,93.201
-0.217,0.193,0.311,-34.485,-30.396,62.195
-0.168,0.059,0.312,-44.250,-30.640,34.241
-0.088,0.009,0.144,-50.354,-20.813,22.034
0.003,0.048,0.036,-45.349,-12.939,17.761
0.115,0.133,-0.030,-30.701,-9.094,14.465
0.066,0.000,-0.120,-13.184,-9.583,5.798
0.234,-0.021,-0.136,-16.602,-15.015,-12.024
0.436,-0.097,-0.081,-12.817,-21.729,-22.278
0.526,-0.032,0.047,-2.319,-28.015,-20.081
0.549,-0.158,0.004,27.832,-29.297,-9.827
0.472,-0.193,-0.013,39.490,-32.715,-8.057
0.355,-0.217,-0.010,40.222,-38.513,-8.850
0.319,-0.234,-0.104,42.297,-33.752,-8.057
0.268,-0.273,-0.045,51.636,-33.569,-1.709
0.111,-0.300,0.004,54.077,-39.917,6.653
0.011,-0.215,0.067,52.429,-41.016,9.583
-0.036,-0.232,0.154,53.345,-36.987,7.263
-0.050,-0.259,0.212,52.307,-31.128,2.380
-0.047,-0.263,0.221,51.941,-23.987,-1.770
-0.036,-0.291,0.218,53.406,-17.700,-6.042
-0.022,-0.276,0.258,55.298,-13.306,-9.094
-0.004,-0.245,0.331,54.810,-11.902,-12.878
0.025,-0.248,0.409,50.354,-13.062,-18.188
0.036,-0.257,0.449,41.382,-12.756,-21.851
0.048,-0.261,0.540,31.921,-12.939,-23.743
0.059,-0.250,0.705,26.489,-13.794,-23.865
0.045,-0.215,0.882,17.029,-10.559,-22.949
0.095,-0.188,0.941,4.517,-2.136,-22.644
0.174,-0.172,0.982,-14.282,5.981,-20.264
0.200,-0.078,1.053,-24.231,13.000,-12.756
0.206,0.093,1.066,-9.216,21.240,-11.841
0.153,0.047,1.107,24.902,20.203,-26.855
0.068,-0.098,1.140,24.536,19.287,-36.499
0.105,-0.190,1.124,-0.793,27.222,-31.677
0.099,-0.076,1.222,-13.550,23.926,-11.414
0.013,-0.036,1.343,-11.597,15.503,-0.916
-0.064,-0.024,1.397,-16.113,15.076,3.479
-0.089,-0.024,1.433,-25.330,18.616,4.211
-0.106,0.011,1.475,-40.894,20.630,4.578
-0.108,0.119,1.481,-55.237,20.630,3.723
-0.189,0.092,1.460,-72.571,19.897,-1.648
-0.231,0.006,1.494,-64.209,16.052,-8.118
-0.200,0.024,1.495,-51.208,15.137,-7.263
-0.152,0.105,1.501,-49.561,14.771,-3.418
-0.136,0.130,1.511,-53.162,13.611,-4.028
-0.118,0.130,1.462,-55.725,14.832,-6.165
-0.103,0.140,1.405,-52.734,17.090,-6.592
-0.106,0.132,1.378,-48.279,16.907,-6.531
-0.084,0.150,1.357,-41.260,14.221,-5.493
-0.075,0.148,1.333,-34.607,10.803,-5.005
-0.050,0.146,1.306,-30.334,7.141,-4.700
-0.019,0.172,1.279,-30.945,4.211,-3.967
-0.000,0.180,1.249,-30.579,1.465,-5.676
-0.027,0.141,1.224,-31.738,-0.671,-9.277
-0.026,0.094,1.227,-25.146,-2.991,-11.597
-0.004,0.084,1.234,-21.484,-3.845,-10.254
0.029,0.087,1.242,-21.118,-3.174,-8.484
0.054,0.121,1.201,-22.644,0.732,-6.592
0.068,0.131,1.127,-24.841,5.798,-5.798
0.083,0.125,1.065,-27.283,7.080,-5.432
0.071,0.103,1.027,-23.804,5.920,-3.662
0.074,0.134,1.007,-19.470,5.249,-1.648
0.065,0.181,0.995,-21.667,4.272,-1.160
0.078,0.213,0.982,-23.743,1.404,-4.456
0.046,0.132,0.976,-30.701,-2.014,-11.230
0.059,0.076,0.985,-27.893,-4.944,-15.076
0.037,0.105,1.015,-23.437,-6.165,-13.306
0.009,0.063,1.006,-13.000,-6.104,-12.390
0.056,-0.010,0.967,-3.906,-4.639,-11.414
0.060,-0.007,0.974,-19.348,-5.188,-10.376
0.042,0.061,0.992,-37.292,-5.371,-6.897
0.014,0.079,0.979,-29.480,-3.174,-4.822
0.002,0.068,0.964,-16.541,-1.648,-3.967
0.032,0.073,0.944,-10.925,-1.160,-2.258
0.040,0.090,0.946,-14.893,-2.563,-0.793
0.052,0.103,0.944,-16.724,-3.662,0.488
0.053,0.099,0.943,-15.747,-4.456,1.282
0.039,0.122,0.949,-19.226,-5.188,1.831
0.015,0.143,0.950,-20.081,-4.517,2.075
0.004,0.164,0.943,-17.517,-3.601,0.793
0.007,0.175,0.940,-16.602,-3.052,-1.831
0.013,0.173,0.949,-15.564,-2.502,-3.845
0.024,0.165,0.952,-12.939,-2.319,-6.104
0.022,0.161,0.950,-10.559,-1.648,-7.568
0.018,0.168,0.946,-8.362,-1.038,-8.423
0.037,0.172,0.936,-8.362,-1.526,-8.972
0.046,0.164,0.944,-7.935,-3.235,-9.399
0.044,0.160,0.966,-7.751,-4.333,-8.972
0.041,0.161,0.987,-6.714,-4.150,-7.690
0.049,0.163,0.998,-6.287,-3.723,-5.920
0.037,0.169,1.003,-3.174,-2.808,-4.395
0.033,0.160,1.007,-1.404,-0.793,-3.784
0.041,0.163,1.001,-4.639,1.648,-2.747
0.050,0.174,0.990,-6.836,3.418,-1.770
0.048,0.177,0.975,-5.432,4.211,-1.099
0.042,0.180,0.966,-3.052,4.028,-0.732
0.034,0.177,0.960,-1.038,3.113,-0.916
0.036,0.175,0.969,-1.892,1.770,-1.404
0.042,0.170,0.981,-3.906,-0.244,-1.892
0.047,0.167,0.987,-4.456,-2.319,-1.953
0.054,0.160,0.987,-4.700,-3.479,-1.892
0.056,0.157,0.991,-4.639,-4.456,-1.465

-0.357,0.405,2.132,78.003,18.738,24.292
-0.403,0.389,2.399,91.736,10.376,18.677
-0.407,0.290,2.597,102.417,-1.770,6.775
-0.378,0.102,2.718,99.060,-18.494,-7.080
-0.364,-0.117,2.852,84.167,-38.147,-15.808
-0.368,-0.307,2.914,69.397,-50.903,-14.832
-0.365,-0.533,2.738,54.504,-43.030,-7.324
-0.273,-0.622,2.303,21.118,-17.822,8.301
-0.235,-0.448,1.883,-14.282,5.371,29.480
-0.212,-0.309,1.489,-26.855,20.081,40.161
-0.138,-0.218,1.028,-26.794,27.527,41.748
0.023,-0.075,0.590,-29.053,29.968,42.114
0.124,0.151,0.461,-46.997,25.757,39.429
0.209,0.291,0.374,-51.880,17.151,31.189
0.347,0.357,0.276,-47.852,4.639,19.775
0.458,0.325,0.224,-55.603,-12.878,10.071
0.488,0.265,0.226,-69.336,-27.283,6.775
0.472,0.189,0.191,-64.941,-31.311,11.536
0.412,0.162,0.068,-43.823,-26.978,22.827
0.264,0.188,-0.019,-26.428,-24.780,35.522
0.158,0.202,-0.135,-20.996,-18.799,41.992
0.058,0.211,-0.142,-15.076,-15.381,40.100
-0.039,0.101,-0.079,0.061,-15.198,31.677
-0.077,-0.005,0.013,6.470,-15.137,26.306
-0.093,-0.072,0.080,10.864,-11.780,21.790
-0.077,-0.144,0.068,18.738,-5.005,18.555
-0.023,-0.189,0.076,16.602,2.258,16.357
0.028,-0.253,0.136,9.460,6.470,14.709
0.100,-0.335,0.107,1.648,12.817,15.930
0.110,-0.353,0.146,-7.874,17.151,19.836
0.125,-0.332,0.192,-10.681,18.860,24.963
0.139,-0.292,0.219,-10.742,20.935,29.358
0.135,-0.286,0.235,-4.822,20.813,29.663
0.123,-0.257,0.236,-4.211,20.569,28.198
0.099,-0.246,0.235,0.488,17.822,25.330
0.066,-0.204,0.248,3.540,11.658,20.325
0.023,-0.177,0.257,7.263,3.540,11.108
-0.024,-0.159,0.274,10.437,-4.333,-1.404
-0.046,-0.126,0.295,15.320,-12.268,-13.916
-0.052,-0.101,0.356,19.226,-20.142,-27.954
