aX,aY,aZ,gX,gY,gZ
-0.094,-0.161,2.088,-112.427,59.448,-87.219
-0.009,0.065,2.062,-127.930,62.988,-103.088
0.098,0.351,1.945,-135.254,66.711,-114.563
0.271,0.674,1.786,-146.362,62.378,-125.366
0.490,1.058,1.740,-163.025,47.363,-134.338
0.750,1.408,1.664,-167.236,30.090,-144.165
1.005,1.702,1.550,-165.100,11.719,-154.724
1.223,1.915,1.306,-158.142,-8.240,-159.790
1.396,2.034,0.940,-142.822,-31.982,-149.841
1.537,2.192,0.684,-122.070,-66.162,-135.742
1.643,2.269,0.552,-96.741,-104.004,-127.258
1.638,2.164,0.460,-75.989,-135.925,-115.356
1.539,2.026,0.537,-61.890,-160.583,-100.525
1.410,1.877,0.602,-54.443,-168.030,-86.609
1.279,1.674,0.526,-49.194,-157.837,-75.378
1.210,1.411,0.445,-49.744,-143.372,-67.566
1.134,1.088,0.290,-45.959,-126.404,-56.030
1.086,0.784,0.148,-44.556,-109.985,-34.546
0.931,0.554,0.009,-57.678,-99.731,-0.366
0.773,0.522,-0.034,-72.266,-94.604,40.649
0.649,0.641,-0.031,-86.487,-89.478,76.965
0.551,0.642,0.018,-88.806,-78.796,94.727
0.462,0.541,-0.032,-78.247,-60.303,100.647
0.429,0.498,-0.104,-65.796,-40.222,107.727
0.404,0.459,-0.193,-50.903,-24.902,115.723
0.384,0.408,-0.240,-31.006,-15.686,122.375
0.366,0.360,-0.243,-10.986,-9.460,127.380
0.336,0.314,-0.218,6.836,-6.958,130.188
0.304,0.273,-0.198,23.743,-7.446,130.066
0.305,0.183,-0.197,38.269,-8.118,126.892
0.308,0.147,-0.224,56.885,-7.751,124.084
0.311,0.074,-0.251,75.256,-7.202,120.911
0.304,-0.014,-0.290,91.187,-6.836,117.798
0.293,-0.077,-0.291,98.572,-7.690,118.164
0.282,-0.113,-0.287,99.487,-9.094,121.277
0.267,-0.169,-0.300,97.351,-9.705,123.779
0.233,-0.243,-0.294,99.670,-9.705,125.916
0.190,-0.326,-0.144,100.037,-12.207,127.014
0.120,-0.436,0.084,103.210,-10.559,127.502
0.054,-0.489,0.135,112.366,1.770,130.188
-0.044,-0.577,0.209,118.652,10.315,130.676
-0.084,-0.588,0.270,121.826,13.794,130.920
-0.135,-0.523,0.347,122.559,13.000,122.681
-0.211,-0.667,0.415,129.272,7.568,105.774
-0.339,-0.806,0.496,135.803,5.859,98.267
-0.432,-0.859,0.685,137.878,6.409,104.004
-0.459,-0.814,0.716,137.268,14.343,115.356
-0.417,-0.731,0.663,131.226,21.851,122.559
-0.422,-0.607,0.614,131.897,22.400,122.375
-0.434,-0.539,0.641,129.700,17.395,113.220
-0.448,-0.493,0.751,121.460,10.498,95.581
-0.406,-0.561,0.831,113.647,8.972,73.364
-0.350,-0.612,0.975,103.821,14.648,56.946
-0.298,-0.652,1.154,84.229,25.146,48.645
-0.234,-0.694,1.298,59.814,44.983,45.044
-0.174,-0.672,1.372,38.940,73.486,46.082
-0.158,-0.657,1.398,20.386,100.342,47.119
-0.179,-0.611,1.437,-2.014,117.554,46.204
-0.193,-0.554,1.451,-25.513,128.662,41.748
-0.209,-0.533,1.481,-42.542,135.986,33.081
-0.167,-0.346,1.438,-56.335,140.198,22.339
-0.156,-0.266,1.442,-60.303,135.986,-0.183
-0.207,-0.281,1.467,-43.945,127.136,-25.696
-0.221,-0.268,1.539,-25.879,122.620,-43.518
-0.142,-0.238,1.506,-13.916,128.784,-54.626
-0.018,-0.189,1.331,3.967,135.193,-64.148
0.033,-0.125,1.148,16.968,127.136,-76.843
0.066,-0.058,1.090,6.226,100.647,-94.299
0.016,0.051,1.236,-20.508,64.575,-114.075
0.021,0.076,1.263,-49.866,45.471,-136.841
0.094,0.058,1.157,-74.951,32.349,-154.602
0.202,0.046,1.087,-103.821,13.123,-159.241
0.300,0.148,1.121,-137.268,-7.751,-148.193
0.326,0.428,1.661,-140.625,-17.212,-131.531
0.445,0.375,1.364,-100.281,10.742,-119.324
0.531,0.544,1.331,-109.558,23.193,-103.088
0.577,0.576,1.315,-102.173,25.696,-92.651
0.634,0.661,1.255,-99.304,26.978,-80.566
0.669,0.782,1.165,-91.980,24.902,-65.796
0.668,0.879,1.070,-74.707,18.860,-57.312
0.635,0.890,1.000,-54.626,8.850,-57.678
0.606,0.860,0.970,-40.710,-2.563,-59.143
0.589,0.833,0.961,-29.785,-12.085,-56.824
0.568,0.799,0.951,-17.944,-16.785,-51.208
0.553,0.761,0.929,-9.949,-17.700,-44.556
0.513,0.719,0.903,-6.592,-16.541,-36.560
0.486,0.684,0.864,-6.226,-12.756,-26.855
0.449,0.643,0.831,-4.395,-8.240,-16.968
0.408,0.604,0.794,-1.160,-4.639,-7.812
0.375,0.546,0.771,1.221,-3.357,1.038
0.344,0.550,0.795,1.770,-3.174,9.399
0.325,0.527,0.753,3.601,-1.526,14.465
0.295,0.497,0.751,3.906,-1.831,16.663
0.277,0.468,0.781,3.601,-2.991,16.602
0.261,0.418,0.797,4.639,-3.296,16.052
0.264,0.388,0.811,5.737,-4.028,15.808
0.275,0.379,0.829,4.822,-5.981,16.235
0.282,0.375,0.864,2.502,-7.996,16.357
0.292,0.364,0.903,0.549,-9.460,15.686
0.291,0.321,0.921,0.000,-9.644,14.954
0.293,0.314,0.936,-2.441,-9.705,16.235
0.294,0.318,0.929,-4.517,-9.094,17.822
0.292,0.308,0.904,-5.188,-7.019,17.944
0.279,0.301,0.877,-5.249,-4.761,18.127
0.275,0.314,0.842,-4.211,-3.357,19.104
0.252,0.298,0.833,-1.953,-3.296,18.677
0.238,0.297,0.859,-1.587,-3.784,18.616
0.228,0.286,0.888,-0.671,-4.089,18.005
0.208,0.269,0.906,1.953,-4.456,17.578
0.192,0.274,0.940,3.601,-4.700,17.761
0.198,0.265,0.958,3.601,-3.845,16.785
0.205,0.249,0.969,3.662,-2.869,15.564
0.209,0.237,0.974,1.953,-2.014,15.198
0.212,0.241,0.974,-0.488,-1.892,16.479
0.207,0.247,0.974,-2.686,-2.075,18.127
0.199,0.261,0.947,-2.686,-1.587,19.226
0.191,0.263,0.923,-1.831,-2.319,19.409

-0.316,-0.880,1.745,27.710,29.419,-23.499
-0.364,-0.983,1.870,11.230,29.236,-42.542
-0.342,-1.007,1.981,-13.184,29.541,-62.866
-0.279,-0.968,2.020,-38.147,33.203,-82.886
-0.167,-0.850,2.011,-61.584,37.598,-99.243
-0.104,-0.674,2.013,-78.247,39.246,-111.450
-0.069,-0.436,2.075,-84.045,39.063,-119.507
-0.002,-0.176,2.157,-93.079,38.391,-126.831
0.108,0.105,2.245,-107.849,37.842,-135.193
0.266,0.397,2.221,-124.512,37.659,-145.020
0.466,0.808,2.140,-144.958,38.940,-154.785
0.722,1.078,2.002,-161.865,39.429,-162.048
0.979,1.463,1.764,-173.279,30.579,-162.842
1.214,1.694,1.527,-173.523,5.432,-178.101
1.353,1.853,1.335,-173.950,-26.367,-179.871
1.575,1.926,1.186,-174.561,-60.791,-170.593
1.765,1.848,0.996,-158.264,-90.149,-156.616
1.806,1.790,0.829,-135.010,-117.188,-133.789
1.747,1.717,0.711,-121.338,-136.719,-106.628
1.700,1.598,0.579,-123.230,-143.250,-83.862
1.579,1.437,0.416,-127.014,-143.005,-63.049
1.439,1.221,0.298,-128.296,-137.390,-41.931
1.277,1.068,0.056,-127.502,-126.770,-16.296
1.097,0.962,-0.135,-126.282,-114.258,7.263
0.984,0.775,-0.274,-118.408,-98.633,27.832
0.894,0.666,-0.405,-114.380,-86.853,53.589
0.747,0.627,-0.500,-104.004,-74.951,85.144
0.603,0.648,-0.520,-87.097,-63.354,112.244
0.538,0.591,-0.502,-72.021,-54.077,127.930
0.469,0.482,-0.483,-58.044,-43.457,137.451
0.425,0.401,-0.462,-43.640,-29.541,148.682
0.379,0.336,-0.431,-26.184,-16.174,160.583
0.327,0.255,-0.390,-9.216,-5.920,169.189
0.285,0.182,-0.360,6.531,2.136,174.377
0.273,0.107,-0.350,22.034,9.277,176.514
0.266,0.026,-0.363,36.499,13.245,175.781
0.271,-0.044,-0.341,48.828,14.099,174.011
0.307,-0.113,-0.278,58.228,11.719,172.913
0.329,-0.164,-0.151,65.918,7.141,172.424
0.336,-0.265,-0.088,69.153,3.357,170.959
0.313,-0.394,-0.003,67.871,0.122,170.105
0.258,-0.511,0.020,74.768,2.930,171.509
0.136,-0.666,0.067,86.121,9.827,175.415
0.063,-0.724,0.099,91.003,21.057,183.777
-0.009,-0.708,0.162,93.323,28.992,190.186
-0.078,-0.760,0.325,94.177,30.701,187.195
-0.147,-0.860,0.529,94.116,35.339,179.321
-0.226,-0.938,0.693,95.764,45.349,174.683
-0.298,-0.972,0.805,98.267,55.847,173.340
-0.361,-0.949,0.909,100.403,64.697,173.035
-0.387,-0.914,0.929,102.051,74.646,171.082
-0.439,-0.851,0.929,105.896,85.266,166.321
-0.508,-0.782,0.824,111.267,98.022,155.945
-0.511,-0.692,0.681,105.103,105.530,140.747
-0.432,-0.617,0.519,99.792,101.624,121.399
-0.387,-0.598,0.463,100.159,86.243,98.877
-0.393,-0.630,0.613,93.079,62.561,76.050
-0.413,-0.698,0.877,75.012,39.978,54.199
-0.405,-0.734,1.133,47.485,32.166,36.621
-0.342,-0.709,1.319,15.747,42.480,25.696
-0.278,-0.681,1.427,-9.094,65.125,22.156
-0.213,-0.492,1.688,-28.564,92.896,23.254
-0.231,-0.444,1.539,-26.978,125.793,14.893
-0.189,-0.403,1.416,-32.959,148.682,0.244
-0.146,-0.269,1.385,-43.518,151.550,-11.658
-0.125,-0.185,1.392,-47.546,143.677,-28.687
-0.079,-0.119,1.430,-45.471,131.531,-48.584
0.104,0.104,1.410,-36.011,118.469,-69.092
0.115,0.065,1.457,-19.165,94.543,-102.966
0.141,-0.219,1.785,-9.277,67.322,-132.019
0.214,-0.086,2.004,-2.991,83.923,-122.681
0.233,0.243,1.771,5.737,132.874,-111.145
0.356,0.153,1.010,0.793,146.179,-126.465
0.354,0.252,1.562,-34.302,61.279,-131.592
0.294,0.536,2.073,-78.491,28.015,-131.470
0.315,0.465,1.646,-87.708,79.468,-151.978
0.370,0.442,1.102,-94.177,98.633,-164.917
0.414,0.536,0.877,-110.352,63.599,-160.156
0.434,0.623,0.910,-116.882,10.010,-147.400
0.460,0.753,1.029,-112.244,-27.710,-130.737
0.496,0.876,1.312,-88.562,-38.757,-115.051
0.540,0.849,1.076,-56.152,-24.841,-100.830
0.587,0.925,1.034,-47.241,-23.804,-84.229
0.566,0.922,1.041,-33.142,-28.931,-70.190
0.541,0.892,1.032,-27.100,-29.846,-57.983
0.513,0.848,1.023,-21.729,-27.344,-45.166
0.478,0.787,0.988,-17.822,-23.132,-33.752
0.446,0.749,0.920,-16.052,-18.250,-22.766
0.405,0.708,0.852,-12.024,-13.611,-13.916
0.370,0.657,0.789,-4.517,-10.559,-7.324
0.328,0.612,0.770,1.648,-11.230,-2.930
0.284,0.547,0.798,6.348,-13.000,-0.305
0.250,0.514,0.807,13.245,-11.230,2.258
0.228,0.513,0.834,16.663,-8.850,3.784
0.209,0.443,0.818,18.311,-4.272,0.122
0.209,0.400,0.805,19.348,-1.099,-1.587
0.224,0.371,0.849,15.076,-0.977,-1.587
0.232,0.333,0.867,11.475,1.282,-0.671
0.230,0.308,0.814,9.644,7.202,1.953
0.230,0.301,0.784,5.615,9.583,5.310
0.237,0.288,0.813,0.305,7.202,7.690
0.239,0.288,0.848,-4.456,4.333,9.155
0.234,0.234,0.829,-8.362,3.052,9.766
0.250,0.258,0.813,-13.611,1.770,13.794
0.252,0.294,0.836,-17.761,-0.854,17.822
0.246,0.290,0.842,-18.311,-1.465,17.883
0.229,0.270,0.819,-16.724,-0.549,17.517
0.210,0.290,0.824,-16.296,-0.671,18.372
0.206,0.286,0.866,-18.738,-2.502,16.846
0.209,0.287,0.916,-19.531,-4.211,14.771
0.212,0.294,0.934,-19.043,-4.517,12.939
0.210,0.290,0.921,-18.188,-3.174,11.047
0.211,0.291,0.913,-19.653,-2.014,9.338
0.212,0.296,0.926,-20.569,-2.075,8.423
