aX,aY,aZ,gX,gY,gZ
0.225,1.470,1.068,13.977,-45.166,-22.522
0.240,1.593,1.042,8.301,-47.974,-15.442
0.233,1.630,1.034,5.554,-47.607,-24.902
0.270,1.630,1.083,3.052,-38.330,-61.279
0.458,1.629,1.100,-12.939,-24.292,-91.553
0.617,1.451,1.000,-22.034,-6.592,-102.661
0.723,1.264,0.915,-22.583,10.620,-98.267
0.731,1.187,0.867,-29.541,5.493,-73.547
0.721,0.854,0.867,-31.189,-7.874,-53.650
0.671,0.607,0.807,-25.635,-5.310,-38.391
0.409,0.331,0.740,-21.423,-7.019,-6.592
0.207,0.161,0.719,-15.808,-13.550,27.039
0.161,-0.053,0.629,-12.085,-13.062,35.217
0.260,-0.127,0.568,-9.888,-7.446,57.495
0.256,-0.204,0.622,1.038,-2.014,91.553
0.112,-0.355,0.779,16.907,8.850,124.268
-0.144,-0.600,0.990,28.931,20.447,148.560
-0.437,-0.872,1.254,32.227,31.555,161.194
-0.708,-1.051,1.472,25.940,50.171,162.109
-0.820,-1.167,1.562,19.470,80.322,155.090
-0.802,-1.176,1.578,14.038,107.788,141.846
-0.651,-1.097,1.520,12.939,124.512,122.620
-0.514,-1.011,1.460,16.296,123.657,98.511
-0.406,-0.969,1.418,20.630,109.009,70.984
-0.348,-0.970,1.429,20.020,80.017,38.452
-0.355,-1.001,1.438,18.433,47.424,12.024
-0.383,-1.031,1.440,15.320,20.142,-3.296
-0.396,-1.046,1.399,12.573,6.470,-12.390
-0.405,-1.039,1.352,11.902,0.916,-20.386
-0.427,-1.015,1.291,13.916,1.831,-31.677
-0.505,-0.999,1.208,14.526,7.263,-43.274
-0.464,-0.946,1.129,9.277,4.639,-38.818
-0.441,-0.870,1.069,1.892,-9.888,-26.855
-0.418,-0.822,1.043,3.113,-11.108,-26.611
-0.353,-0.765,1.042,5.737,-8.118,-33.142
-0.268,-0.727,1.033,6.897,-11.719,-37.903
-0.205,-0.672,1.041,8.240,-12.756,-39.551
-0.168,-0.593,1.081,10.803,-9.094,-38.513
-0.162,-0.546,1.100,13.550,-3.723,-37.048
-0.175,-0.488,1.082,12.756,1.709,-38.879
-0.168,-0.437,1.042,10.803,6.165,-42.847
-0.126,-0.388,1.035,10.620,11.292,-48.279
-0.061,-0.314,1.034,10.742,17.883,-54.810
0.013,-0.220,1.018,9.460,23.437,-62.134
0.133,-0.058,1.014,6.104,23.987,-70.313
0.229,0.096,1.024,4.883,21.729,-77.209
0.353,0.306,1.028,5.188,17.334,-80.444
0.387,0.418,1.041,10.925,11.536,-81.116
0.438,0.518,1.065,14.587,8.118,-85.571
0.443,0.568,1.082,15.808,4.211,-87.158
0.466,0.655,1.062,12.207,3.540,-87.830
0.439,0.697,1.053,11.108,1.709,-86.060
0.439,0.779,1.014,8.606,0.732,-84.412
0.427,0.849,0.995,8.362,-0.061,-81.299
0.390,0.870,0.987,8.728,1.099,-74.524
0.369,0.917,0.970,4.089,-0.061,-73.059
0.381,0.959,0.971,0.305,0.732,-70.068
0.379,1.034,0.987,-2.319,-5.005,-65.430
0.390,1.124,1.018,-1.160,-14.404,-62.073
0.433,1.197,1.027,2.991,-17.212,-57.556
0.497,1.228,1.004,7.263,-19.958,-49.988
0.583,1.264,0.982,8.545,-29.297,-39.734
0.612,1.304,1.013,8.118,-45.349,-25.940
0.614,1.301,1.059,7.202,-54.321,-12.329
0.671,1.294,1.081,4.272,-53.101,0.488
0.705,1.263,1.067,3.113,-45.227,13.916
0.679,1.181,1.065,0.427,-38.635,28.503
0.630,1.062,1.060,-3.601,-30.151,42.358
0.607,0.928,1.033,-8.728,-23.804,55.359
0.586,0.759,1.047,-11.047,-17.883,66.406
0.493,0.572,1.062,-10.803,-9.705,77.209
0.358,0.419,1.087,-12.329,-2.441,89.294
0.240,0.231,1.046,-13.489,5.798,98.938
0.126,0.047,1.026,-12.878,11.963,106.018
0.007,-0.125,1.030,-9.827,15.198,109.192
-0.121,-0.311,1.093,-4.639,16.541,108.704
-0.211,-0.462,1.112,-0.366,17.212,105.469
-0.351,-0.572,1.170,-2.808,9.705,94.910
-0.442,-0.669,1.211,-10.193,-0.488,78.796
-0.494,-0.735,1.270,-14.221,-3.601,66.772
-0.452,-0.724,1.270,-0.793,25.330,71.533
-0.398,-0.709,1.244,17.090,74.219,76.538
-0.122,-0.631,1.046,26.001,94.299,88.745
-0.146,-0.458,1.043,16.357,42.236,102.478
-0.169,-0.468,1.114,1.587,-20.996,79.346
-0.144,-0.437,1.101,-10.864,-40.405,94.482
-0.240,-0.537,1.116,-18.982,-46.631,85.571
-0.248,-0.551,1.107,-9.033,-31.982,29.480
-0.254,-0.461,1.085,-14.038,-19.775,-9.460
-0.182,-0.315,1.111,-15.503,-10.742,-23.193
-0.131,-0.237,1.081,-9.888,-10.986,-31.433
-0.084,-0.119,1.054,-7.019,-16.052,-39.185
-0.071,-0.037,1.040,-3.174,-31.189,-52.185
-0.012,-0.028,1.067,3.601,-49.255,-62.561
-0.056,-0.022,1.164,13.367,-56.213,-67.139
-0.123,-0.031,1.240,21.851,-39.551,-68.604
-0.167,-0.113,1.242,24.536,-9.338,-67.505
-0.240,-0.067,1.328,18.372,16.174,-61.462
-0.183,-0.088,1.183,14.587,47.302,-60.059
-0.117,-0.031,1.157,-2.869,32.288,-48.645
-0.112,0.032,1.172,-15.442,10.803,-28.625
-0.086,0.067,1.128,-20.203,12.695,-21.301
0.027,0.092,1.032,-19.653,20.142,-16.602
-0.023,0.134,1.025,-17.212,15.686,-4.822
-0.052,0.134,1.032,-15.625,10.681,-2.197
-0.056,0.165,1.035,-14.038,7.751,-0.916
-0.072,0.160,1.029,-11.169,6.104,-1.160
-0.070,0.168,1.065,-9.399,2.869,-0.977
-0.056,0.172,1.068,-4.517,9.277,-0.793
-0.053,0.153,1.058,-1.587,15.259,-1.526
-0.060,0.145,1.039,-1.404,13.000,-1.465
-0.077,0.145,1.060,-2.869,6.653,-2.258
-0.055,0.144,1.060,-2.258,5.371,-4.272
-0.026,0.138,1.073,-0.793,5.859,-5.005
-0.030,0.135,1.100,1.587,5.981,-4.700
-0.020,0.121,1.102,4.150,8.301,-5.371
-0.015,0.124,1.139,4.822,3.845,-5.127
0.006,0.104,1.124,7.080,5.432,-5.493
0.010,0.094,1.137,7.202,3.906,-4.639

0.641,1.442,1.061,8.972,-31.250,5.005
0.821,1.529,1.100,17.700,-38.330,16.052
0.874,1.531,1.159,22.278,-45.776,27.527
0.884,1.445,1.146,21.301,-47.424,43.579
0.905,1.313,1.089,14.282,-44.189,66.772
0.865,1.137,1.000,5.859,-40.833,91.125
0.737,0.943,0.907,-0.427,-38.391,111.511
0.561,0.717,0.840,-2.808,-39.063,123.535
0.375,0.478,0.807,1.709,-38.391,125.488
0.175,0.205,0.829,10.437,-37.231,120.483
-0.024,-0.098,0.872,20.752,-32.654,112.732
-0.188,-0.370,0.953,27.710,-26.306,112.488
-0.291,-0.597,1.045,31.067,-18.494,113.098
-0.388,-0.791,1.083,31.311,-12.207,108.276
-0.453,-0.969,1.123,25.940,-14.526,105.225
-0.447,-1.036,1.177,22.888,-21.057,116.028
-0.489,-1.071,1.222,24.292,-15.381,123.596
-0.565,-1.153,1.262,17.700,-15.015,110.840
-0.640,-1.208,1.293,6.287,-22.217,80.811
-0.693,-1.258,1.303,-2.625,-27.832,43.152
-0.699,-1.275,1.301,-8.911,-29.419,13.611
-0.669,-1.269,1.273,-11.414,-26.306,-4.089
-0.638,-1.237,1.236,-10.437,-21.118,-16.418
-0.555,-1.254,1.206,-2.380,-13.000,-17.700
-0.563,-1.223,1.168,5.371,-1.343,-13.062
-0.500,-1.208,1.059,3.601,5.127,-18.433
-0.458,-1.150,0.995,1.038,9.827,-18.311
-0.507,-1.093,0.946,0.000,15.869,-18.982
-0.524,-1.051,0.852,-1.404,24.109,-24.170
-0.512,-1.002,0.791,-4.700,21.118,-32.104
-0.497,-0.972,0.800,-8.179,9.644,-41.565
-0.484,-0.942,0.883,-11.047,-4.883,-51.270
-0.440,-0.935,0.914,-11.353,-11.902,-61.157
-0.408,-0.934,0.944,-12.939,-13.367,-72.144
-0.349,-0.903,0.958,-12.146,-8.789,-83.191
-0.307,-0.839,1.002,-10.681,-2.197,-91.370
-0.253,-0.792,1.026,-7.202,7.690,-96.130
-0.178,-0.704,1.050,-7.629,18.616,-96.619
